Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclMethod,MaxInheritanceTree,PercentLackOfCohesion
Package,"(Unnamed_Package)",,,,12,,
File,"AbandonPercentageTest.java",,,,4,,
File,"AbandonedConfig.java",,,,20,,
File,"AbandonedTrace.java",,,,13,,
File,"AbsoluteOrder.java",,,,10,,
File,"AbstractAccessLogValve.java",,,,92,,
File,"AbstractAjpProtocol.java",,,,30,,
File,"AbstractArchiveResource.java",,,,34,,
File,"AbstractArchiveResourceSet.java",,,,17,,
File,"AbstractCatalinaCommandTask.java",,,,5,,
File,"AbstractCatalinaTask.java",,,,16,,
File,"AbstractChunk.java",,,,15,,
File,"AbstractCreateStatementInterceptor.java",,,,9,,
File,"AbstractEndpoint.java",,,,128,,
File,"AbstractFileResourceSet.java",,,,12,,
File,"AbstractGroup.java",,,,12,,
File,"AbstractHttp11JsseProtocol.java",,,,7,,
File,"AbstractHttp11Protocol.java",,,,84,,
File,"AbstractInputStreamJar.java",,,,15,,
File,"AbstractJniTest.java",,,,2,,
File,"AbstractJsseEndpoint.java",,,,13,,
File,"AbstractNonZeroStream.java",,,,10,,
File,"AbstractObjectCreationFactory.java",,,,3,,
File,"AbstractProcessor.java",,,,56,,
File,"AbstractProcessorLight.java",,,,10,,
File,"AbstractProtocol.java",,,,99,,
File,"AbstractQueryReport.java",,,,11,,
File,"AbstractRef.java",,,,5,,
File,"AbstractReplicatedMap.java",,,,114,,
File,"AbstractResource.java",,,,10,,
File,"AbstractResourceSet.java",,,,18,,
File,"AbstractRole.java",,,,6,,
File,"AbstractRxTask.java",,,,10,,
File,"AbstractSender.java",,,,57,,
File,"AbstractSingleArchiveResource.java",,,,2,,
File,"AbstractSingleArchiveResourceSet.java",,,,6,,
File,"AbstractStream.java",,,,20,,
File,"AbstractStreamProvider.java",,,,7,,
File,"AbstractTestFileResourceSet.java",,,,6,,
File,"AbstractTestResourceSet.java",,,,51,,
File,"AbstractTestResourceSetMount.java",,,,7,,
File,"AbstractTestTag.java",,,,1,,
File,"AbstractUser.java",,,,17,,
File,"AbstractWebsocketMessage.java",,,,0,,
File,"AcceptEncoding.java",,,,4,,
File,"AcceptLanguage.java",,,,4,,
File,"Acceptor.java",,,,10,,
File,"AccessLog.java",,,,3,,
File,"AccessLogAdapter.java",,,,5,,
File,"AccessLogValve.java",,,,32,,
File,"ActionCode.java",,,,2,,
File,"ActionHook.java",,,,1,,
File,"Adapter.java",,,,6,,
File,"AddDefaultCharsetFilter.java",,,,9,,
File,"AddPortOffsetRule.java",,,,1,,
File,"Address.java",,,,8,,
File,"AjpAprProtocol.java",,,,6,,
File,"AjpMessage.java",,,,24,,
File,"AjpNio2Protocol.java",,,,3,,
File,"AjpNioProtocol.java",,,,3,,
