Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclMethod
Class,"AboutDlg",25,2,1,0,53,4
Abstract Class,"Accessor",89,0,0,2,26,26
Class,"Action",40,0,0,0,5,5
Class,"AutoComplete",83,0,3,0,17,17
Class,"AutoLineLayout",33,0,2,0,6,6
Class,"AutoSurface",0,0,3,0,5,5
Class,"Buffer",75,0,6,0,21,21
Class,"CRC16",0,1,0,0,8,4
Class,"CRC16_ISO_3309",25,0,0,1,4,4
Class,"CallTip",68,0,11,0,12,12
Class,"Caret",0,0,0,0,1,1
Class,"CellBuffer",85,0,7,0,51,51
Abstract Class,"CharacterIndexer",0,0,0,1,1,1
Struct,"CharacterRange",0,0,0,0,0,0
Class,"ColourAllocated",0,0,0,0,3,3
Class,"ColourDesired",27,0,0,0,11,11
Struct,"ColourPair",0,0,2,0,2,2
Class,"ColourPicker",66,1,2,0,41,9
Class,"ColourPopup",74,1,1,0,41,9
Class,"CommentStyleDialog",0,3,4,0,67,8
Class,"ContractionState",48,0,2,0,18,18
Class,"ControlsTab",74,2,2,0,72,9
Class,"Converter",14,0,0,0,7,7
Class,"DataObject",0,0,1,0,1,1
Struct,"DlgEtName",0,0,1,0,1,1
Class,"DocModification",0,0,1,0,2,2
Class,"DocTabView",50,2,4,0,79,16
Abstract Class,"DocWatcher",0,0,2,1,6,6
Class,"Document",94,0,8,0,98,98
Public Class,"Document::WatcherWithUserData",0,0,1,0,1,1
Class,"DocumentAccessor",83,1,3,0,51,25
Class,"DocumentIndexer",0,1,1,0,3,2
Class,"DropSource",0,0,1,0,1,1
Class,"DropTarget",0,0,1,0,1,1
Abstract Class,"DynamicLibrary",0,0,1,2,5,5
Class,"DynamicLibraryImpl",100,1,0,0,9,4
Class,"DynamicLibraryImpl",0,1,0,0,9,4
Abstract Class,"Editor",96,1,36,1,184,178
Class,"ElapsedTime",25,0,0,0,4,4
Class,"ExternalLexerModule",50,1,3,0,12,4
Class,"Face.Face",,0,0,0,2,2
Class,"FileDialog",61,0,0,0,7,7
Class,"FileNameStringSplitter",0,0,0,0,3,3
Class,"FindReplaceDlg",80,2,4,0,67,18
Class,"FolderStyleDialog",0,3,4,0,65,6
Class,"Font",25,0,2,2,12,12
Class,"FontCached",65,1,2,0,19,7
Class,"FontCached",60,1,0,0,18,6
Class,"FontHandle",60,0,0,0,5,5
Class,"FontNames",37,0,0,0,4,4
